affected_gene_id	affected_gene_label
ZFIN:ZDB-GENE-020905-1	atp2a1
ZFIN:ZDB-GENE-020905-2	copa
ZFIN:ZDB-GENE-020905-3	msh6
ZFIN:ZDB-GENE-020905-5	prrx1a
ZFIN:ZDB-GENE-020910-1	id2a
ZFIN:ZDB-GENE-020919-2	sec31a
ZFIN:ZDB-GENE-020919-3	unc45b
ZFIN:ZDB-GENE-020919-4	st8sia2
ZFIN:ZDB-GENE-020925-1	dnah9
ZFIN:ZDB-GENE-021003-1	acvrl1
ZFIN:ZDB-GENE-021008-1	foxn1
ZFIN:ZDB-GENE-021011-2	pak2a
ZFIN:ZDB-GENE-021022-3	kat6a
ZFIN:ZDB-GENE-021028-1	npm1a
ZFIN:ZDB-GENE-021030-1	lgmn
ZFIN:ZDB-GENE-021030-3	cbsb
ZFIN:ZDB-GENE-021030-4	cad
ZFIN:ZDB-GENE-021031-1	neo1a
ZFIN:ZDB-GENE-021031-3	pwp2h
ZFIN:ZDB-GENE-021031-4	plod3
ZFIN:ZDB-GENE-021031-5	smoc2
ZFIN:ZDB-GENE-021106-1	epb41l3b
ZFIN:ZDB-GENE-021115-1	slc11a2
ZFIN:ZDB-GENE-021115-2	trpm7
ZFIN:ZDB-GENE-021115-5	ets1
ZFIN:ZDB-GENE-021115-7	plk1
ZFIN:ZDB-GENE-021115-8	kars
ZFIN:ZDB-GENE-021115-9	klf6a
ZFIN:ZDB-GENE-021119-2	drd2a
ZFIN:ZDB-GENE-021120-2	grm6b
ZFIN:ZDB-GENE-021125-1	smarca5
ZFIN:ZDB-GENE-021205-1	nav3
ZFIN:ZDB-GENE-021206-1	hspd1
ZFIN:ZDB-GENE-021206-3	sdc2
ZFIN:ZDB-GENE-021206-4	sebox
ZFIN:ZDB-GENE-021206-7	ahcyl1
ZFIN:ZDB-GENE-021209-1	mcm5
ZFIN:ZDB-GENE-021211-2	msna
ZFIN:ZDB-GENE-021212-1	ddx55
ZFIN:ZDB-GENE-021213-1	sdad1
ZFIN:ZDB-GENE-021217-1	med29
ZFIN:ZDB-GENE-021217-2	diexf
ZFIN:ZDB-GENE-021217-3	arl13b
ZFIN:ZDB-GENE-021219-1	c19h1orf109
ZFIN:ZDB-GENE-021219-2	atp6v1h
ZFIN:ZDB-GENE-021219-3	phf5a
ZFIN:ZDB-GENE-021220-1	ncs1a
ZFIN:ZDB-GENE-021220-2	ddx54
ZFIN:ZDB-GENE-021220-6	ints7
ZFIN:ZDB-GENE-021223-1	dag1
ZFIN:ZDB-GENE-021223-2	mc4r
ZFIN:ZDB-GENE-021226-1	lamb1a
ZFIN:ZDB-GENE-021226-3	lamc1
ZFIN:ZDB-GENE-021231-2	tsr2
ZFIN:ZDB-GENE-021231-3	wdr43
ZFIN:ZDB-GENE-021231-4	nifk
ZFIN:ZDB-GENE-030102-1	ttc27
ZFIN:ZDB-GENE-030102-2	zcchc7
ZFIN:ZDB-GENE-030109-1	ruvbl2
ZFIN:ZDB-GENE-030109-2	ruvbl1
ZFIN:ZDB-GENE-030113-2	ttna
ZFIN:ZDB-GENE-030114-9	pola1
ZFIN:ZDB-GENE-030116-1	esr2b
ZFIN:ZDB-GENE-030116-2	esr2a
ZFIN:ZDB-GENE-030116-3	scfd1
ZFIN:ZDB-GENE-030123-1	ttk
ZFIN:ZDB-GENE-030124-1	nfe2
ZFIN:ZDB-GENE-030127-1	nkx3.2
ZFIN:ZDB-GENE-030128-2	mbpa
ZFIN:ZDB-GENE-030128-3	smad7
ZFIN:ZDB-GENE-030128-4	smad3b
ZFIN:ZDB-GENE-030130-1	epb41b
ZFIN:ZDB-GENE-030131-102	ctgfa
ZFIN:ZDB-GENE-030131-1033	agrn
ZFIN:ZDB-GENE-030131-1046	apoa2
ZFIN:ZDB-GENE-030131-1057	exoc1
ZFIN:ZDB-GENE-030131-1067	setd6
ZFIN:ZDB-GENE-030131-1074	apoc1l
ZFIN:ZDB-GENE-030131-1092	mtif2
ZFIN:ZDB-GENE-030131-1113	si:rp71-15k1.1
ZFIN:ZDB-GENE-030131-1178	zgc:172246
ZFIN:ZDB-GENE-030131-1229	acta2
ZFIN:ZDB-GENE-030131-1238	gmpr2
ZFIN:ZDB-GENE-030131-1249	dhrs9
ZFIN:ZDB-GENE-030131-1280	pik3r1
ZFIN:ZDB-GENE-030131-1291	rpl3
ZFIN:ZDB-GENE-030131-1394	pask
ZFIN:ZDB-GENE-030131-1414	sept6
ZFIN:ZDB-GENE-030131-1428	prex1
ZFIN:ZDB-GENE-030131-1452	alox12
ZFIN:ZDB-GENE-030131-1515	csrnp1b
ZFIN:ZDB-GENE-030131-1531	atp6v0d1
