FlyBase:FBgn0019631	Drer\shh
ZFIN:ZDB-GENE-020419-12	rps5
ZFIN:ZDB-GENE-020419-13	srrt
ZFIN:ZDB-GENE-020419-14	snrpd1
ZFIN:ZDB-GENE-020419-15	ppp1r10
ZFIN:ZDB-GENE-020419-16	pole2
ZFIN:ZDB-GENE-020419-17	timm23a
ZFIN:ZDB-GENE-020419-18	taf7
ZFIN:ZDB-GENE-020419-19	csnk1a1
ZFIN:ZDB-GENE-020419-2	rpl35
ZFIN:ZDB-GENE-020419-20	rps18
ZFIN:ZDB-GENE-020419-21	smc4
ZFIN:ZDB-GENE-020419-22	sf3b4
ZFIN:ZDB-GENE-020419-23	atp6v0ca
ZFIN:ZDB-GENE-020419-24	mcm2
ZFIN:ZDB-GENE-020419-25	rpl24
ZFIN:ZDB-GENE-020419-26	snrpc
ZFIN:ZDB-GENE-020419-27	mcm7
ZFIN:ZDB-GENE-020419-28	adssl
ZFIN:ZDB-GENE-020419-29	scarb2
ZFIN:ZDB-GENE-020419-3	b3gat3
ZFIN:ZDB-GENE-020419-30	ddx19
ZFIN:ZDB-GENE-020419-31	ncbp2
ZFIN:ZDB-GENE-020419-32	hdac1
ZFIN:ZDB-GENE-020419-33	vps18
ZFIN:ZDB-GENE-020419-34	dtl
ZFIN:ZDB-GENE-020419-35	mak16
ZFIN:ZDB-GENE-020419-36	actl6a
ZFIN:ZDB-GENE-020419-37	uxs1
ZFIN:ZDB-GENE-020419-38	terfa
ZFIN:ZDB-GENE-020419-39	stil
ZFIN:ZDB-GENE-020419-4	mcm3
ZFIN:ZDB-GENE-020419-40	aurkb
ZFIN:ZDB-GENE-020419-5	cct3
ZFIN:ZDB-GENE-020419-6	cct2
ZFIN:ZDB-GENE-020419-7	cct7
ZFIN:ZDB-GENE-020419-9	slc25a5
ZFIN:ZDB-GENE-020423-1	rpl36a
ZFIN:ZDB-GENE-020423-2	atp6ap1b
ZFIN:ZDB-GENE-020423-3	eef1g
ZFIN:ZDB-GENE-020423-4	naca
ZFIN:ZDB-GENE-020423-5	fshr
ZFIN:ZDB-GENE-020424-3	lmna
ZFIN:ZDB-GENE-020426-1	kif11
ZFIN:ZDB-GENE-020503-1	igf1ra
ZFIN:ZDB-GENE-020503-2	igf1rb
ZFIN:ZDB-GENE-020503-3	insra
ZFIN:ZDB-GENE-020503-4	insrb
ZFIN:ZDB-GENE-020507-2	invs
ZFIN:ZDB-GENE-020507-3	vangl2
ZFIN:ZDB-GENE-020508-1	cryaa
ZFIN:ZDB-GENE-020509-1	nek8
ZFIN:ZDB-GENE-020509-2	gbx2
ZFIN:ZDB-GENE-020515-1	id3
ZFIN:ZDB-GENE-020515-2	lyz
ZFIN:ZDB-GENE-020530-1	ptgs1
ZFIN:ZDB-GENE-020530-2	ptgs2a
ZFIN:ZDB-GENE-020604-1	myhz2
ZFIN:ZDB-GENE-020709-1	myo7aa
