MGI:1922169	Slc35f6
MGI:3052177	Synch1
MGI:3604736	Tmc1m3
MGI:1346037	Insrr
MGI:104803	Siae
MGI:97373	Npr3
MGI:1203727	Sema6a
MGI:1353419	Rnf17
MGI:1858756	Vertcling
MGI:2656514	Lmr3
MGI:1921518	Aven
MGI:87961	Agrn
MGI:97848	Rag1
MGI:97771	Proc
MGI:3525640	Obsty5
MGI:99216	Ddr1
MGI:1316674	Afw3
MGI:1858201	Cntnap1
MGI:1342290	Rps6ka2
MGI:97073	Mpg
MGI:892019	Klk1b1
MGI:1921718	Hyal5
MGI:1919540	Lsm11
MGI:2442010	Cdcp1
MGI:2676364	Hsh2d
MGI:2684927	Cenpj
MGI:3033913	l4Jus1
MGI:1926252	Gipc1
MGI:3052175	Lnopy2
MGI:3619324	Mir301
MGI:4829483	m2.8.6Djba
MGI:3640574	Skmw16
MGI:3530900	Moo2
MGI:96601	Itga2b
MGI:99600	Aldh2
MGI:1276106	Ccnk
MGI:3697197	Vmmt9
MGI:1101357	Ece1
MGI:3720926	Tgq19
MGI:2448348	Hdlq15
MGI:87854	Pzp
MGI:1306784	Cited2
MGI:1890409	Rbp7
MGI:1914681	4933402N03Rik
MGI:1098221	Gamt
MGI:1351472	Skts8
MGI:1927899	Mmp19
MGI:1270150	Fam3b
MGI:2136405	Glce
MGI:1917074	Glod5
MGI:1926259	Iigp1
MGI:96182	Hoxb1
MGI:3844232	Arrh3
MGI:1340051	Gpr56
MGI:2671633	ww2
MGI:1346327	Fyb
MGI:1913297	Mrpl54
MGI:1329003	Galr3
MGI:1861380	Sphk2
MGI:1195966	Ctnnd2
MGI:103025	Mtx1
MGI:88451	Col18a1
MGI:1914722	Mtfr1
MGI:1918521	Gca
MGI:87916	Ada
MGI:3027996	am3
MGI:2684894	Nhs
MGI:1354961	Synj1
MGI:2676811	Mir126a
MGI:3606275	Cfmq3
MGI:98511	Tfe3
MGI:95819	Grin1
MGI:102676	Abcc1
MGI:5425518	BAP029
MGI:1336205	Fkbp1b
MGI:2180511	Il31ra
MGI:2149694	Skull12
MGI:97793	Ptger1
MGI:1913101	Cldn10
MGI:108225	El6
MGI:894652	Usp10
MGI:2152453	Gsk3a
MGI:2445154	Lrrn4
MGI:5291501	Del(7Slx1b-Sept1)4Aam
MGI:2671274	l11Jus9
MGI:1931466	Selk
MGI:106913	Abi2
MGI:3609599	Earheal4
MGI:2655562	Eltd1
MGI:1927449	Zbp1
MGI:95660	Gas6
MGI:1345294	Pas1c
MGI:2444121	Tanc2
MGI:95627	Slc6a1
MGI:2449975	Iqgap2
MGI:3045052	Vtbt10
MGI:2386617	Lhyp
MGI:1270848	Rasd1
MGI:3808990	Rgsc798
MGI:5313567	Mirc15
MGI:2183054	Hlb75
MGI:3723106	Mtbcq8
MGI:3526943	W10q18
MGI:98857	Tsta3
MGI:95583	Fshr
MGI:107381	Epha1
MGI:2661705	Cfbw3
MGI:1891295	Ube3b
MGI:5425958	BCL001
MGI:88523	Crygc
MGI:1920455	3110043O21Rik
MGI:99701	Cdc25b
MGI:2180674	Klra17
MGI:2444430	Pomt2
MGI:105123	Gucy2e
MGI:5318060	Del(2Hoxd1-Hoxd4)55Ddu
MGI:1338039	Ovol2
MGI:1335079	Elf5
MGI:1919311	2010111I01Rik
MGI:1351485	Phlda3
MGI:99500	Ephx2
MGI:1926879	Taf8
MGI:2677061	Dagla
MGI:893577	Stx4a
MGI:107793	Crmp1
MGI:2445327	Otx2m2
MGI:2151875	Nsv1
MGI:2180715	Zfp704
MGI:3045048	Vtbt6
MGI:2151209	Pgia1
MGI:2681865	Zfat
MGI:5425520	BAP030
MGI:2181743	D430041D05Rik
MGI:4460116	Splchl2
MGI:2145977	Dip2b
MGI:3706149	Ignpq3
MGI:1891396	Kirrel
MGI:96013	Hat1
MGI:87855	Aal
MGI:94936	dup
MGI:2144305	Ccdc55
MGI:2150673	Tbrs3
MGI:2151216	Pgia8
MGI:108027	Ptprv
MGI:3505689	Cdsn
MGI:1337100	Wdr1
MGI:2386052	Cerk
MGI:1201670	Psmd4
MGI:1889583	Sh3kbp1
MGI:1918546	Crnde
MGI:88210	Bsp
MGI:1890571	twl
MGI:3590652	Txlng
MGI:2442827	Tbc1d32
MGI:105957	Lbw5
MGI:1928716	Hag
MGI:2680362	Capsq4
MGI:105380	Mcm2
MGI:2180021	Cd207
MGI:107676	Tank
MGI:1914297	Rars
MGI:2669608	Tmevd6
MGI:3612841	nmf347
MGI:109532	Btg3
MGI:2159400	Tmie
MGI:1354388	Spag6
MGI:2151218	Pgia10
MGI:1926063	Nckap1l
MGI:1098772	Pik3r2
MGI:2653451	Lith6
MGI:96710	l17Pas2
MGI:2676846	Mir182
MGI:3038477	Fbgl2
MGI:1913272	Kcnmb4
MGI:3577482	nur74
MGI:99677	Adcy1
MGI:3691597	Nhil1
MGI:1922484	Rnf19b
MGI:98959	Wnt5b
MGI:104574	Ptprj
MGI:2149044	Adip4
MGI:97255	Myh6
MGI:96770	Lef1
MGI:1916823	Hilpda
MGI:99261	Ptgds
MGI:96559	Il6
MGI:3524761	Arigg6
MGI:2151780	Kcal1
MGI:2448632	tmgc6
MGI:1270126	Ulk1
MGI:2671584	crf21
MGI:1921341	Npl
MGI:2669462	Mbis2
MGI:1916906	Pir
MGI:88109	Atp1b2
MGI:2176161	Lith5
MGI:87977	Ak1
MGI:88037	ap
MGI:3033142	Mrgprd
MGI:96648	Jund
MGI:1336168	Cradd
MGI:1332551	Mnm
MGI:1924730	Kidins220
MGI:2142624	Tmem189
MGI:103309	Flot2
MGI:95679	Gpd1
MGI:3609214	Ltxs3
MGI:3809001	Rgsc934
MGI:5431478	b2b904Clo
MGI:87935	Adra2b
MGI:2671408	gro25
MGI:2445208	Rfx6
MGI:1861437	Gsk3b
MGI:3045046	Vtbt4
MGI:88454	Col4a1
MGI:109268	Vasp
MGI:5584150	Del(16Tssk1-Tssk2)1Joch
MGI:1344407	Zeb2
MGI:97375	nr
MGI:2155865	Rrm2b
MGI:2450166	Arhgap32
MGI:98945	Wc
MGI:96205	Hoxd13
MGI:1350918	Omd
MGI:96184	Hoxb3
MGI:2654575	Cybrd1
MGI:109232	Npas2
MGI:2151891	Adaz1
MGI:109378	Epha8
MGI:88336	Cd40
MGI:5505440	m5Bei
MGI:1098590	Npy6r
MGI:87941	Adrbk2
MGI:1347463	Foxd1
MGI:2443047	Ttll1
MGI:2444211	Ppp1r15b
MGI:3800208	Rgsc300
MGI:88048	Apo
MGI:88031	Anxa7
MGI:97283	Ncf1
MGI:2151233	Dph1
MGI:1921375	Armc8
MGI:1334419	Cd5l
MGI:98475	Tacr1
MGI:1913853	Gemin2
MGI:105046	Serpina3g
MGI:1923041	Fbxw8
MGI:3511265	Lprq1
MGI:97926	Is(In8B2-8B3.1;6C1)1Tshir
MGI:3629965	Nilac1
MGI:1355321	Chek2
MGI:1345295	Pas5b
MGI:3521796	Ecla
MGI:3803884	Nicoq4
MGI:103574	Amph
MGI:3042908	Kidq6
MGI:98619	Tcrd-V5
MGI:1858416	Stk39
MGI:2678722	Hlb212
MGI:3663090	Appd1
MGI:1921441	P2ry13
MGI:1352683	Olfr156
MGI:88158	Bgn
MGI:2149351	Bbaa2
MGI:2152429	Ap2q
