WormBase:WBGene00001086	dpy-27
WormBase:WBGene00001087	dpy-28
WormBase:WBGene00001088	dpy-30
WormBase:WBGene00001089	dre-1
WormBase:WBGene00001090	drh-1
WormBase:WBGene00001091	drh-2
WormBase:WBGene00001093	drp-1
WormBase:WBGene00001094	dars-1
WormBase:WBGene00001095	dars-2
WormBase:WBGene00001096	dsc-1
WormBase:WBGene00001099	dsc-4
WormBase:WBGene00001101	dsh-1
WormBase:WBGene00001102	dsh-2
WormBase:WBGene00001103	dsl-1
WormBase:WBGene00001104	dsl-2
WormBase:WBGene00001105	dsl-3
WormBase:WBGene00001106	dsl-4
WormBase:WBGene00001107	dsl-5
WormBase:WBGene00001108	dsl-6
WormBase:WBGene00001109	dsl-7
WormBase:WBGene00001110	duo-1
WormBase:WBGene00001111	duo-2
WormBase:WBGene00001113	dur-1
WormBase:WBGene00001115	dyb-1
WormBase:WBGene00001118	dyf-2
WormBase:WBGene00001130	dyn-1
WormBase:WBGene00001131	dys-1
WormBase:WBGene00001132	alp-1
WormBase:WBGene00001133	eat-2
WormBase:WBGene00001134	eat-3
WormBase:WBGene00001135	eat-4
WormBase:WBGene00001136	eat-5
WormBase:WBGene00001137	eat-6
WormBase:WBGene00001145	eat-16
WormBase:WBGene00001147	eat-18
WormBase:WBGene00001148	eat-20
WormBase:WBGene00001149	bcat-1
WormBase:WBGene00001150	ech-1.1
WormBase:WBGene00001151	ech-2
WormBase:WBGene00001152	ech-3
WormBase:WBGene00001155	ech-6
WormBase:WBGene00001157	ech-8
WormBase:WBGene00001158	ech-9
WormBase:WBGene00001159	eff-1
WormBase:WBGene00001160	efk-1
WormBase:WBGene00001161	efl-1
WormBase:WBGene00001162	efl-2
WormBase:WBGene00001163	efn-2
WormBase:WBGene00001164	efn-3
WormBase:WBGene00001165	efn-4
WormBase:WBGene00001166	eftu-2
WormBase:WBGene00001167	eef-2
WormBase:WBGene00001168	eef-1A.1
WormBase:WBGene00001169	eef-1A.2
WormBase:WBGene00001170	egl-1
WormBase:WBGene00001171	egl-2
WormBase:WBGene00001172	egl-3
WormBase:WBGene00001173	egl-4
WormBase:WBGene00001174	egl-5
WormBase:WBGene00001175	egl-6
WormBase:WBGene00001177	egl-8
WormBase:WBGene00001178	egl-9
WormBase:WBGene00001179	egl-10
WormBase:WBGene00001182	egl-13
WormBase:WBGene00001184	egl-15
WormBase:WBGene00001186	egl-18
WormBase:WBGene00001187	egl-19
WormBase:WBGene00001188	egl-20
WormBase:WBGene00001189	egl-21
WormBase:WBGene00001190	egl-23
WormBase:WBGene00001193	egl-26
WormBase:WBGene00001194	egl-27
WormBase:WBGene00001196	egl-30
WormBase:WBGene00001202	egl-36
WormBase:WBGene00001204	egl-38
WormBase:WBGene00001207	egl-43
WormBase:WBGene00001208	egl-44
WormBase:WBGene00001209	egl-45
WormBase:WBGene00001210	egl-46
WormBase:WBGene00001211	egl-47
WormBase:WBGene00001214	ego-1
WormBase:WBGene00001215	ego-2
WormBase:WBGene00001223	ehn-3
WormBase:WBGene00001224	ehs-1
WormBase:WBGene00001225	eif-3.B
WormBase:WBGene00001226	eif-3.C
WormBase:WBGene00001227	eif-3.D
WormBase:WBGene00001228	eif-3.E
WormBase:WBGene00001229	eif-3.F
WormBase:WBGene00001230	eif-3.G
WormBase:WBGene00001231	eif-3.H
WormBase:WBGene00001232	eif-3.I
WormBase:WBGene00001233	eif-3.K
WormBase:WBGene00001234	eif-6
WormBase:WBGene00001235	elb-1
WormBase:WBGene00001236	elc-1
WormBase:WBGene00001239	elo-1
WormBase:WBGene00001240	elo-2
WormBase:WBGene00001241	elo-3
WormBase:WBGene00001243	elo-5
WormBase:WBGene00001244	elo-6
WormBase:WBGene00001248	elp-1
WormBase:WBGene00001249	elt-1
WormBase:WBGene00001250	elt-2
WormBase:WBGene00001251	elt-3
WormBase:WBGene00001252	elt-4
WormBase:WBGene00001253	elt-6
WormBase:WBGene00001258	emb-4
WormBase:WBGene00001259	emb-5
WormBase:WBGene00001262	emb-8
WormBase:WBGene00001263	emb-9
WormBase:WBGene00001281	emb-27
WormBase:WBGene00001284	emb-30
WormBase:WBGene00001303	emo-1
WormBase:WBGene00001309	emr-1
WormBase:WBGene00001310	end-1
WormBase:WBGene00001311	end-3
WormBase:WBGene00001320	ent-1
WormBase:WBGene00001324	eor-1
WormBase:WBGene00001325	eor-2
WormBase:WBGene00001328	epi-1
WormBase:WBGene00001329	epn-1
WormBase:WBGene00001330	eps-8
WormBase:WBGene00001331	erd-2
WormBase:WBGene00001332	eri-1
WormBase:WBGene00001333	erm-1
WormBase:WBGene00001334	ero-1
WormBase:WBGene00001335	erp-1
WormBase:WBGene00001336	qars-1
WormBase:WBGene00001337	ears-1
WormBase:WBGene00001338	ears-2
WormBase:WBGene00001340	etr-1
WormBase:WBGene00001345	fos-1
WormBase:WBGene00001352	evl-14
WormBase:WBGene00001358	evl-20
WormBase:WBGene00001366	exc-5
WormBase:WBGene00001368	exc-7
WormBase:WBGene00001372	exo-3
WormBase:WBGene00001373	exp-1
WormBase:WBGene00001374	exp-2
WormBase:WBGene00001377	eya-1
WormBase:WBGene00001385	far-1
WormBase:WBGene00001393	fat-1
WormBase:WBGene00001394	fat-2
WormBase:WBGene00001395	fat-3
WormBase:WBGene00001396	fat-4
WormBase:WBGene00001397	fat-5
WormBase:WBGene00001398	fat-6
WormBase:WBGene00001399	fat-7
WormBase:WBGene00001401	fbf-1
WormBase:WBGene00001402	fbf-2
WormBase:WBGene00001410	feh-1
WormBase:WBGene00001411	fem-1
WormBase:WBGene00001412	fem-2
WormBase:WBGene00001413	fem-3
WormBase:WBGene00001414	fer-1
WormBase:WBGene00001423	fib-1
WormBase:WBGene00001424	fis-1
WormBase:WBGene00001428	fkb-3
WormBase:WBGene00001429	fkb-4
WormBase:WBGene00001431	fkb-6
WormBase:WBGene00001432	fkb-7
WormBase:WBGene00001434	fkh-2
WormBase:WBGene00001437	fkh-5
WormBase:WBGene00001438	fkh-6
WormBase:WBGene00001440	fkh-8
WormBase:WBGene00001441	fkh-9
WormBase:WBGene00001442	fkh-10
WormBase:WBGene00001443	fli-1
WormBase:WBGene00001444	flp-1
WormBase:WBGene00001445	flp-2
WormBase:WBGene00001449	flp-6
WormBase:WBGene00001461	flp-18
WormBase:WBGene00001465	flr-1
WormBase:WBGene00001475	fmi-1
WormBase:WBGene00001477	fmo-2
WormBase:WBGene00001478	fmo-3
WormBase:WBGene00001479	fmo-4
WormBase:WBGene00001481	fog-1
WormBase:WBGene00001482	fog-2
WormBase:WBGene00001483	fog-3
WormBase:WBGene00001484	fox-1
WormBase:WBGene00001486	frh-1
WormBase:WBGene00001487	frk-1
WormBase:WBGene00001492	frm-5.1
WormBase:WBGene00001494	frm-8
WormBase:WBGene00001496	frm-10
WormBase:WBGene00001497	fars-1
WormBase:WBGene00001498	fars-3
WormBase:WBGene00001499	fsn-1
WormBase:WBGene00001500	ftn-1
WormBase:WBGene00001501	ftn-2
WormBase:WBGene00001502	ftt-2
WormBase:WBGene00001503	fum-1
