FBbt:00000254PHENOTYPE	Drosophila embryonic/larval transverse connective phenotype
FBbt:00000265PHENOTYPE	embryonic/larval dorsal branch phenotype
FBbt:00000266PHENOTYPE	embryonic/larval dorsal branch 1 phenotype
FBbt:00000267PHENOTYPE	embryonic/larval dorsal branch 2 phenotype
FBbt:00000268PHENOTYPE	Drosophila embryonic/larval dorsal branch 3 phenotype
FBbt:00000269PHENOTYPE	Drosophila embryonic/larval dorsal branch 4 phenotype
FBbt:00000270PHENOTYPE	Drosophila embryonic/larval dorsal branch 5 phenotype
FBbt:00000271PHENOTYPE	embryonic/larval dorsal branch 6 phenotype
FBbt:00000272PHENOTYPE	embryonic/larval dorsal branch 7 phenotype
FBbt:00000273PHENOTYPE	Drosophila embryonic/larval dorsal branch 8 phenotype
FBbt:00000274PHENOTYPE	Drosophila embryonic/larval dorsal branch 9 phenotype
FBbt:00000275PHENOTYPE	Drosophila embryonic/larval dorsal branch 10 phenotype
FBbt:00000276PHENOTYPE	embryonic/larval dorsal anastomosis phenotype
FBbt:00000296PHENOTYPE	Drosophila embryonic/larval visceral branch phenotype
FBbt:00000313PHENOTYPE	Drosophila spiracular branch 10 phenotype
FBbt:00000325PHENOTYPE	embryonic/larval ganglionic branch phenotype
FBbt:00000326PHENOTYPE	Drosophila ganglionic branch 0 phenotype
FBbt:00000327PHENOTYPE	Drosophila ganglionic branch 1 phenotype
FBbt:00000328PHENOTYPE	embryonic/larval ganglionic branch 2 phenotype
FBbt:00000329PHENOTYPE	Drosophila ganglionic branch 3 phenotype
FBbt:00000330PHENOTYPE	Drosophila ganglionic branch 4 phenotype
FBbt:00000331PHENOTYPE	embryonic/larval ganglionic branch 5 phenotype
FBbt:00000332PHENOTYPE	Drosophila ganglionic branch 6 phenotype
FBbt:00000333PHENOTYPE	embryonic/larval ganglionic branch 7 phenotype
FBbt:00000334PHENOTYPE	Drosophila ganglionic branch 8 phenotype
FBbt:00000335PHENOTYPE	Drosophila ganglionic branch 9 phenotype
FBbt:00000336PHENOTYPE	embryonic/larval ventral anastomosis phenotype
FBbt:00000337PHENOTYPE	Drosophila ventral anastomosis 0 phenotype
FBbt:00000338PHENOTYPE	ventral anastomosis 1 phenotype
FBbt:00000339PHENOTYPE	Drosophila ventral anastomosis 2 phenotype
FBbt:00000372PHENOTYPE	lateral G branch phenotype
FBbt:00000378PHENOTYPE	Drosophila lateral G branch 7 phenotype
