FlyBase:FBal0000418	Aldox-1[n1]
FlyBase:FBal0000419	Aldox-1[n2]
FlyBase:FBal0000420	Aldox-1[nGB1]
FlyBase:FBal0000421	Aldox-1[nGB2]
FlyBase:FBal0000422	Aldox-1[nGB3]
FlyBase:FBal0000423	Aldox-1[nGB4]
FlyBase:FBal0000424	Aldox-1[nNC1]
FlyBase:FBal0000425	Aldox-1[nNC2]
FlyBase:FBal0000426	Aldox-1[nNC3]
FlyBase:FBal0000427	Aldox-1[nNC4]
FlyBase:FBal0000428	Aldox-1[nNC5]
FlyBase:FBal0000429	Aldox-1[nNC6]
FlyBase:FBal0000430	Aldox-1[nNC7]
FlyBase:FBal0000431	Aldox-1[nNC8]
FlyBase:FBal0000432	Aldox-1[nNC9]
FlyBase:FBal0000433	Aldox-1[lao]
FlyBase:FBal0000434	Aldox-1[Pa1]
FlyBase:FBal0000435	Aldox-1[Pa2]
FlyBase:FBal0000436	Aldox-1[Pb1]
FlyBase:FBal0000437	Aldox-1[Pb2]
FlyBase:FBal0000439	ale[1]
FlyBase:FBal0000441	alo[1]
FlyBase:FBal0000442	Alp[1]
FlyBase:FBal0000445	alarless[1]
FlyBase:FBal0000446	Alu[1]
FlyBase:FBal0000447	Alu[56c]
FlyBase:FBal0000448	Ama-1[1]
FlyBase:FBal0000449	Ama-2[1]
FlyBase:FBal0000450	amb[1]
FlyBase:FBal0000451	amb[2]
FlyBase:FBal0000452	amb[3]
FlyBase:FBal0000453	amb[4]
FlyBase:FBal0000454	amb[5]
FlyBase:FBal0000455	amb[6]
FlyBase:FBal0000456	amb[7]
FlyBase:FBal0000457	amb[8]
FlyBase:FBal0000458	amd[1]
FlyBase:FBal0000459	amd[2]
FlyBase:FBal0000460	amd[3]
FlyBase:FBal0000461	amd[4]
FlyBase:FBal0000462	amd[5]
FlyBase:FBal0000463	amd[6]
FlyBase:FBal0000464	amd[7]
FlyBase:FBal0000465	amd[8]
FlyBase:FBal0000466	amd[9]
FlyBase:FBal0000467	amd[10]
FlyBase:FBal0000468	amd[11]
FlyBase:FBal0000469	amd[12]
FlyBase:FBal0000470	amd[21]
FlyBase:FBal0000471	amd[22]
FlyBase:FBal0000472	amd[23]
FlyBase:FBal0000473	amd[24]
FlyBase:FBal0000474	amd[25]
FlyBase:FBal0000475	amd[26]
FlyBase:FBal0000476	amd[27]
FlyBase:FBal0000477	amd[28]
FlyBase:FBal0000478	amd[29]
FlyBase:FBal0000485	amd[36]
FlyBase:FBal0000486	amd[37]
FlyBase:FBal0000487	amd[38]
FlyBase:FBal0000488	amd[39]
FlyBase:FBal0000489	amd[40]
FlyBase:FBal0000490	amd[41]
FlyBase:FBal0000499	amiel[1]
FlyBase:FBal0000500	amn[1]
FlyBase:FBal0000501	Amr[010]
FlyBase:FBal0000502	Amr[018]
FlyBase:FBal0000503	Amr[106]
FlyBase:FBal0000504	amx[1]
FlyBase:FBal0000505	amy[1]
FlyBase:FBal0000507	Amy-d[2]
FlyBase:FBal0000508	Amy-d[3]
FlyBase:FBal0000509	Amy-d[4]
FlyBase:FBal0000510	Amy-d[5]
FlyBase:FBal0000511	Amy-d[6]
FlyBase:FBal0000512	Amy-d[1420-1]
FlyBase:FBal0000513	Amy-d[AO168]
FlyBase:FBal0000514	Amy-d[J87]
FlyBase:FBal0000515	Amy-d[KO123]
FlyBase:FBal0000516	Amy-d[L16]
FlyBase:FBal0000517	Amy-d[TN22]
FlyBase:FBal0000518	Amy-d[TN256]
FlyBase:FBal0000519	Amy-d[TN329]
FlyBase:FBal0000520	Amy-p[1a]
FlyBase:FBal0000521	Amy-p[1b]
FlyBase:FBal0000522	Amy-p[1c]
FlyBase:FBal0000523	Amy-p[1]
FlyBase:FBal0000524	Amy-p[2]
FlyBase:FBal0000525	Amy-p[3]
FlyBase:FBal0000526	Amy-p[4]
FlyBase:FBal0000527	Amy-p[5]
FlyBase:FBal0000536	an[1]
FlyBase:FBal0000537	an[2]
FlyBase:FBal0000538	garz[1]
FlyBase:FBal0000539	ano[1]
FlyBase:FBal0000540	Kr[00895]
FlyBase:FBal0000541	ant[1]
FlyBase:FBal0000542	Antp[1]
FlyBase:FBal0000543	Antp[2]
FlyBase:FBal0000550	Antp[9]
FlyBase:FBal0000552	Antp[11]
FlyBase:FBal0000555	Antp[14]
FlyBase:FBal0000557	Antp[16]
FlyBase:FBal0000558	Antp[17]
FlyBase:FBal0000561	Antp[20]
FlyBase:FBal0000564	Antp[23]
FlyBase:FBal0000566	Antp[25]
FlyBase:FBal0000568	Antp[49]
FlyBase:FBal0000569	Antp[50]
FlyBase:FBal0000570	Antp[59]
FlyBase:FBal0000571	Antp[60]
FlyBase:FBal0000572	Antp[72j]
FlyBase:FBal0000573	Antp[73b]
FlyBase:FBal0000580	Antp[B]
FlyBase:FBal0000581	Antp[CB]
FlyBase:FBal0000582	Antp[Ctx]
FlyBase:FBal0000583	Antp[Hu]
FlyBase:FBal0000585	Antp[JK]
FlyBase:FBal0000586	Antp[LC]
FlyBase:FBal0000587	Antp[Ns]
FlyBase:FBal0000589	Antp[Ns-rv2]
FlyBase:FBal0000590	Antp[Ns-rv3]
FlyBase:FBal0000591	Antp[Ns-rv6]
FlyBase:FBal0000592	Antp[Ns-rv8]
FlyBase:FBal0000593	Antp[Ns-rv11]
FlyBase:FBal0000594	Antp[Ns-rv13]
FlyBase:FBal0000595	Antp[Ns-rv16]
FlyBase:FBal0000596	Antp[Ns-rv18]
FlyBase:FBal0000597	Antp[Ns-rv19]
FlyBase:FBal0000603	Antp[Ns-rvC1]
FlyBase:FBal0000604	Antp[Ns-rvC2]
FlyBase:FBal0000605	Antp[Ns-rvC3]
FlyBase:FBal0000606	Antp[Ns-rvC4]
FlyBase:FBal0000607	Antp[Ns-rvC5]
FlyBase:FBal0000608	Antp[Ns-rvC6]
FlyBase:FBal0000609	Antp[Ns-rvC8]
FlyBase:FBal0000610	Antp[Ns-rvC9]
FlyBase:FBal0000612	Antp[Ns-rvC11]
FlyBase:FBal0000613	Antp[Ns-rvC12]
FlyBase:FBal0000614	Antp[PW]
FlyBase:FBal0000615	Antp[R]
FlyBase:FBal0000616	Antp[RM]
FlyBase:FBal0000617	Antp[Scx]
FlyBase:FBal0000618	Antp[W]
FlyBase:FBal0000619	Antp[Wu]
FlyBase:FBal0000620	Antp[Yu]
FlyBase:FBal0000621	ants[1]
FlyBase:FBal0000622	aop[1]
FlyBase:FBal0000623	aop[2]
FlyBase:FBal0000624	aor[1]
FlyBase:FBal0000625	ap[1]
FlyBase:FBal0000626	ap[2]
FlyBase:FBal0000628	ap[3]
FlyBase:FBal0000629	ap[3a]
FlyBase:FBal0000630	ap[4]
FlyBase:FBal0000632	ap[5]
FlyBase:FBal0000633	ap[6]
FlyBase:FBal0000638	ap[40]
FlyBase:FBal0000641	ap[49j]
FlyBase:FBal0000642	ap[54]
FlyBase:FBal0000643	ap[56f]
FlyBase:FBal0000650	ap[73n]
FlyBase:FBal0000651	ap[77f]
FlyBase:FBal0000653	ap[78j]
